Registration Number,Seniority Level,Department,First Name,Middle Name,Last Name,Abbreviation,Email,Phone
EMP01,1,ICT,GK,GK,GK,GK,GK@gmail.com,1
EMP02,1,ICT,ANR,ANR,ANR,ANR,ANR@gmail.com,2
EMP03,1,ICT,PS,PS,PS,PS,PS@gmail.com,3
EMP04,1,ICT,PK,PK,PK,PK,PK@gmail.com,4
EMP05,1,ICT,SB,SB,SB,SB,SB@gmail.com,5
EMP06,1,ICT,KP,KP,KP,KP,KP@gmail.com,6
EMP09,1,ICT,SAK,SAK,SAK,SAK,SAK@gmail.com,9
EMP010,1,ICT,AV,AV,AV,AV,AV@gmail.com,10
EMP011,1,ICT,NS,NS,NS,NS,NS@gmail.com,11
EMP012,1,ICT,SR,SR,SR,SR,SR@gmail.com,12
EMP013,1,ICT,STS,STS,STS,STS,STS@gmail.com,13
EMP014,1,ICT,AS,AS,AS,AS,AS@gmail.com,14
EMP015,1,ICT,CHS,CHS,CHS,CHS,CHS@gmail.com,15
EMP016,1,ICT,SP,SP,SP,SP,SP@gmail.com,16
EMP018,1,ICT,AB,AB,AB,AB,AB@gmail.com,18
EMP019,1,ICT,PG,PG,PG,PG,PG@gmail.com,19
EMP020,1,ICT,AH,AH,AH,AH,AH@gmail.com,20
EMP022,1,ICT,SSB,SSB,SSB,SSB,SSB@gmail.com,22
EMP024,1,ICT,MB,MB,MB,MB,MB@gmail.com,24
EMP025,1,ICT,RG,RG,RG,RG,RG@gmail.com,25
EMP026,1,ICT,RH,RH,RH,RH,RH@gmail.com,26
EMP027,1,ICT,DO,DO,DO,DO,DO@gmail.com,27
EMP032,1,ICT,SAC,SAC,SAC,SAC,SAC@gmail.com,32
EMP033,1,ICT,SK,SK,SK,SK,SK@gmail.com,33
EMP034,1,ICT,RJ,RJ,RJ,RJ,RJ@gmail.com,34
EMP035,1,ICT,MKJ,MKJ,MKJ,MKJ,MKJ@gmail.com,35
EMP036,1,ICT,MS,MS,MS,MS,MS@gmail.com,36
EMP037,1,ICT,DS,DS,DS,DS,DS@gmail.com,37
EMP039,1,ICT,VB,VB,VB,VB,VB@gmail.com,39
EMP040,1,ICT,KK,KK,KK,KK,KK@gmail.com,40
EMP041,1,ICT,JY,JY,JY,JY,JY@gmail.com,41
EMP042,1,ICT,RN,RN,RN,RN,RN@gmail.com,42
EMP043,1,ICT,CK,CK,CK,CK,CK@gmail.com,43
EMP044,1,ICT,RA,RA,RA,RA,RA@gmail.com,44
EMP045,1,ICT,KAB,KAB,KAB,KAB,KAB@gmail.com,45
EMP046,1,ICT,AKC,AKC,AKC,AKC,AKC@gmail.com,46
EMP048,1,ICT,AR,AR,AR,AR,AR@gmail.com,48
EMP049,1,ICT,IP,IP,IP,IP,IP@gmail.com,49
EMP050,1,ICT,SHK,SHK,SHK,SHK,SHK@gmail.com,50
EMP051,1,ICT,VK,VK,VK,VK,VK@gmail.com,51
EMP054,1,ICT,CP,CP,CP,CP,CP@gmail.com,54
